Code,Country,tourism_employment_per_1000_over_time,food_employment_per_1000_over_time,tourism_gdp_percentage_over_time,business_to_personal_ratio_over_time,avg_stay_days_over_time,inbound_arrivals_over_time,domestic_tourists_over_time,inbound_to_outbound_ratio_over_time
MUS,Mauritius,22.515635289911287,2.7010057915593153,9.102707117054049,0.038681750616831795,,178.0741777664993,,4.349670656457564
MEX,Mexico,16.722862227470376,4.671825340889428,7.031645900624781,0.019438408016252535,3.497939655791412,246.76486860888664,,2.8315285944482316
MDA,Moldova,0.864344125727356,,0.42219940441571424,,2.772562233156196,21.612989712289277,5.655260014512843,0.33755650641912816
MCO,Monaco,197.35201571080177,54.31295106889544,,0.17046236395659906,2.5359387022719138,5825.335690312312,,
MNG,Mongolia,4.3975592246714585,2.9830000444603346,0.06183607803943843,0.48202089589686786,,15.589179797579144,,
MNE,Montenegro,27.651010324900035,,10.0,,,2247.168833240356,,
MAR,Morocco,15.416994522380701,2.4646076866460933,7.0373124669338765,0.12287263062067384,2.576395736308411,103.98054630979351,687.6409711627907,4.3448172507962015
MOZ,Mozambique,1.6552181175,0.743364832,2.8111070624799055,0.10706847097012895,1.9913069478722643,18.965579211316648,,
NAM,Namibia,18.470491640109888,,5.153932913732347,0.3695362245404467,1.933310067431094,104.22410306757911,1638.4042,
NLD,Netherlands,38.973095,28.940418,2.5246014185801395,0.42523095,1.7714607021510902,387.1844057974721,1684.3057312523574,0.6056746269672982
NZL,New Zealand,35.39655086141974,26.316783840885034,3.3370735337580832,0.1209943345269946,1.9000643004574618,80.11037815165899,3791.973779702068,1.0199408997560122
NIC,Nicaragua,7.050141059825004,,,0.11983073757609485,2.550874368368233,40.39103717379696,,0.7002393825448876
NGA,Nigeria,2.4533767595121954,1.4447379480792686,4.501362889232935,0.4297280561677832,6.440604106345408,2.631600328643153,8.745341014481982,
NOR,Norway,33.884139689320946,10.610553994772674,3.7251895492627614,0.2843684834430153,1.7815772276834063,287.8740993246786,3661.760880484832,0.7763287141873262
PSE,Palestine,7.7963102263109025,5.1007036931038225,1.0278244092716855,,2.0335339273555264,65.1998829675827,4.7068759003861,
PAN,Panama,32.66430583514729,2.2694723708965254,9.129235880398669,0.06930515873941978,2.547026926611839,143.33819630550974,,1.1090875995309788
PRY,Paraguay,1.475532148486705,,0.36557356136790253,0.23443318498798021,3.4999999916926314,22.301492020730464,203.4263837837838,0.3322822527297403
PHL,Philippines,43.59440848900697,,5.362079880578136,0.07775815671476516,9.84161420680344,5.0702246006799125,,1.0539360261587967
POL,Poland,6.9183089825,4.792328907692307,1.2159364403754442,0.0929051589964673,2.8264666246111654,256.96474973553416,1181.9790273422586,1.4210939141594092
PRT,Portugal,39.68388281579554,25.910347654085495,5.7241437727051006,0.18665848837290092,3.1689910321467836,616.6685623441595,1578.6935593193632,6.243846621370229
PRI,Puerto Rico,20.612297066115705,14.961988628099174,2.8480003596141477,,2.6173458546075863,842.8719803430669,,5.475851634680155
REU,Reunion,15.784897684378135,8.220127263979165,3.268975196911197,0.09009857663132671,9.004359068286211,263.53726605109296,,
ROU,Romania,18.353101735571062,6.859681224464842,2.96491961798313,0.038777029420849415,2.213899045901283,148.40446360883078,794.842916584967,
